Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Age
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,10
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,10
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,10
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,11
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,16
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,11
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,14
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,10
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,8
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,15
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,16
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,16
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,16
TVS Sport,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,9
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,12
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,11
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,10
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,10
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,9
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,11
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,11
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,12
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,10
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,20
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,12
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,11
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,12
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,11
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,14
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,13
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,11
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,11
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,12
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,15
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,13
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,11
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,11
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,18
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,10
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,18
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,13
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,11
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,10
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,22
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,11
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,19
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,10
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,12
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,13
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,14
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,12
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,13
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,20
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,10
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,12
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,12
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,14
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,13
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,11
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,13
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,11
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,18
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,13
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,16
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,15
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,12
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,10
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,16
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,14
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,11
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,9
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,13
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,10
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,11
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,15
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,15
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,14
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,16
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,17
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,18
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,13
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,10
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,12
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,10
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,12
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,9
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,15
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,9
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,9
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,11
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,10
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,13
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,10
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,11
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,15
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,15
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,17
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,15
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,9
